"","date","price"
"862",2020-06-22,1568.5293
"863",2020-06-23,1580.6957
"864",2020-06-24,1548.28
"865",2020-06-25,1550.6824
"866",2020-06-26,1524.1132
"867",2020-06-27,1524.0637
"868",2020-06-28,1524.0141
"869",2020-06-29,1523.9646
"870",2020-06-30,1576.0282
"871",2020-07-01,1576.0006
"872",2020-07-02,1561.7152
"873",2020-07-03,1556.9884
"874",2020-07-04,1556.9378
"875",2020-07-05,1556.8872
"876",2020-07-06,1578.09
"877",2020-07-07,1554.5181
"878",2020-07-08,1556.0056
"879",2020-07-09,1547.859
"880",2020-07-10,1575.601
